code,coding_system,description,entity,list_name,upload_date,medcode,CharlsonCategory
1434,Read,h/o: diabetes mellitus,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,6813,Diabetes without end organ damage
1461,Read,h/o: dementia,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,5931,Dementia
1477,Read,h/o: cerebrovascular disease,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,41577,Cerebrovascular disease
14A7.00,Read,h/o: cva/stroke,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,34135,Cerebrovascular disease
14A7.11,Read,h/o: cva,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,6305,Cerebrovascular disease
14A7.12,Read,h/o: stroke,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,5871,Cerebrovascular disease
14AK.00,Read,h/o: stroke in last year,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,66873,Cerebrovascular disease
14B3.12,Read,history of chronic obstructive pulmonary disease,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,103494,Chronic pulmonary disease
14C1.00,Read,h/o: peptic ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,2812,Peptic ulcer disease
14C1.11,Read,h/o: duodenal ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,6321,Peptic ulcer disease
14C1.12,Read,h/o: gastric ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,7108,Peptic ulcer disease
14D1.00,Read,h/o: nephritis,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,8828,Moderate or severe renal disease
14D..11,Read,h/o: kidney disease,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,6774,Moderate or severe renal disease
14D..12,Read,h/o: renal disease,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,9959,Moderate or severe renal disease
14F7.00,Read,h/o: arterial lower limb ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,106762,PVD
14G1.00,Read,h/o: rheumatoid arthritis,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,6639,Connective tissue disease
14NB.00,Read,h/o: peripheral vascular disease procedure,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,59534,PVD
14OX.00,Read,at risk of chronic obstructive pulmonary diseas exacerbation,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,96931,Chronic pulmonary disease
14V2.00,Read,h/o: renal dialysis,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,20196,Moderate or severe renal disease
14V2.11,Read,h/o: kidney dialysis,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,44422,Moderate or severe renal disease
16I..00,Read,claudication distance,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,7975,PVD
1J60.00,Read,suspected heart failure,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,21235,Congestive heart failure
1M11000,Read,ischaemic foot pain at rest,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109034,PVD
1M11100,Read,ischaemic foot pain when walking,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109217,PVD
1M4..00,Read,central post-stroke pain,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,100639,Cerebrovascular disease
1M8..00,Read,diabetic peripheral neuropathic pain,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109760,Diabetes with end organ damage
1O0..00,Read,cancer confirmed,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,10335,"Any tumour, leukaemia, lymphoma"
1O1..00,Read,heart failure confirmed,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,9913,Congestive heart failure
1Z1..00,Read,chronic renal impairment,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,12720,Moderate or severe renal disease
1Z12.00,Read,chronic kidney disease stage 3,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,12566,Moderate or severe renal disease
1Z13.00,Read,chronic kidney disease stage 4,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,12479,Moderate or severe renal disease
1Z14.00,Read,chronic kidney disease stage 5,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,12585,Moderate or severe renal disease
1Z15.00,Read,chronic kidney disease stage 3a,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,94965,Moderate or severe renal disease
1Z16.00,Read,chronic kidney disease stage 3b,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95179,Moderate or severe renal disease
1Z1a.00,Read,ckd with gfr category g4 & albuminuria category a1,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109980,Moderate or severe renal disease
1Z1b.00,Read,ckd with gfr category g4 & albuminuria category a2,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109904,Moderate or severe renal disease
1Z1B.00,Read,chronic kidney disease stage 3 with proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,94793,Moderate or severe renal disease
1Z1B.11,Read,ckd stage 3 with proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95145,Moderate or severe renal disease
1Z1c.00,Read,ckd with gfr category g4 & albuminuria category a3,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,110626,Moderate or severe renal disease
1Z1C.00,Read,chronic kidney disease stage 3 without proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95123,Moderate or severe renal disease
1Z1C.11,Read,ckd stage 3 without proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95188,Moderate or severe renal disease
1Z1d.00,Read,ckd with gfr category g5 & albuminuria category a1,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,110133,Moderate or severe renal disease
1Z1D.00,Read,chronic kidney disease stage 3a with proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95408,Moderate or severe renal disease
1Z1D.11,Read,ckd stage 3a with proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95571,Moderate or severe renal disease
1Z1e.00,Read,ckd with gfr category g5 & albuminuria category a2,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109981,Moderate or severe renal disease
1Z1E.00,Read,chronic kidney disease stage 3a without proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95175,Moderate or severe renal disease
1Z1E.11,Read,ckd stage 3a without proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95176,Moderate or severe renal disease
1Z1f.00,Read,ckd with gfr category g5 & albuminuria category a3,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,110467,Moderate or severe renal disease
1Z1F.00,Read,chronic kidney disease stage 3b with proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95178,Moderate or severe renal disease
1Z1F.11,Read,ckd stage 3b with proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95180,Moderate or severe renal disease
1Z1G.00,Read,chronic kidney disease stage 3b without proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95177,Moderate or severe renal disease
1Z1G.11,Read,ckd stage 3b without proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,100633,Moderate or severe renal disease
1Z1H.00,Read,chronic kidney disease stage 4 with proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95122,Moderate or severe renal disease
1Z1H.11,Read,ckd stage 4 with proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,99312,Moderate or severe renal disease
1Z1J.00,Read,chronic kidney disease stage 4 without proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95406,Moderate or severe renal disease
1Z1J.11,Read,ckd stage 4 without proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,97587,Moderate or severe renal disease
1Z1K.00,Read,chronic kidney disease stage 5 with proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95508,Moderate or severe renal disease
1Z1K.11,Read,ckd stage 5 with proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,99160,Moderate or severe renal disease
1Z1L.00,Read,chronic kidney disease stage 5 without proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,95405,Moderate or severe renal disease
1Z1L.11,Read,ckd stage 5 without proteinuria,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,97683,Moderate or severe renal disease
1Z1T.00,Read,ckd with gfr category g3a & albuminuria category a1,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109804,Moderate or severe renal disease
1Z1V.00,Read,ckd with gfr category g3a & albuminuria category a2,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109805,Moderate or severe renal disease
1Z1W.00,Read,ckd with gfr category g3a & albuminuria category a3,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109905,Moderate or severe renal disease
1Z1X.00,Read,ckd with gfr category g3b & albuminuria category a1,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109963,Moderate or severe renal disease
1Z1Y.00,Read,ckd with gfr category g3b & albuminuria category a2,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109657,Moderate or severe renal disease
1Z1Z.00,Read,ckd with gfr category g3b & albuminuria category a3,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,109990,Moderate or severe renal disease
2833,Read,o/e - hemiplegia,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,22135,Hemiplegia
2835,Read,o/e - paraplegia,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,36133,Hemiplegia
2BBF.00,Read,retinal abnormality - diabetes related,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,22967,Diabetes with end organ damage
2BBJ.00,Read,o/e - no right diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,13100,Diabetes without end organ damage
2BBk.00,Read,o/e - right eye stable treated prolif diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,47328,Diabetes with end organ damage
2BBK.00,Read,o/e - no left diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,13104,Diabetes without end organ damage
2BBl.00,Read,o/e - left eye stable treated prolif diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,52041,Diabetes with end organ damage
2BBL.00,Read,o/e - diabetic maculopathy present both eyes,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,9835,Diabetes with end organ damage
2BBM.00,Read,o/e - diabetic maculopathy absent both eyes,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,47144,Diabetes with end organ damage
2BBo.00,Read,o/e - sight threatening diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,52630,Diabetes with end organ damage
2BBP.00,Read,o/e - right eye background diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,11433,Diabetes with end organ damage
2BBQ.00,Read,o/e - left eye background diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,11129,Diabetes with end organ damage
2BBr.00,Read,impaired vision due to diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,101881,Diabetes with end organ damage
2BBR.00,Read,o/e - right eye preproliferative diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,13099,Diabetes with end organ damage
2BBS.00,Read,o/e - left eye preproliferative diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,13103,Diabetes with end organ damage
2BBT.00,Read,o/e - right eye proliferative diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,13097,Diabetes with end organ damage
2BBV.00,Read,o/e - left eye proliferative diabetic retinopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,13101,Diabetes with end organ damage
2BBW.00,Read,o/e - right eye diabetic maculopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,13102,Diabetes with end organ damage
2BBX.00,Read,o/e - left eye diabetic maculopathy,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,13108,Diabetes with end organ damage
2G51000,Read,foot abnormality - diabetes related,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,27921,Diabetes with end organ damage
2G54.00,Read,o/e - right foot ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,7093,PVD
2G55.00,Read,o/e - left foot ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,8709,PVD
2G5A.00,Read,o/e - right diabetic foot at risk,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,17095,Diabetes with end organ damage
2G5B.00,Read,o/e - left diabetic foot at risk,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,26664,Diabetes with end organ damage
2G5C.00,Read,foot abnormality - diabetes related,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18056,Diabetes with end organ damage
2G5d.00,Read,o/e - left diabetic foot at increased risk,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,105740,Diabetes with end organ damage
2G5e.00,Read,o/e - right diabetic foot at increased risk,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,105741,Diabetes with end organ damage
